timestamp,open,high,low,close,volume,datetime
1670644800000,17136,17148.5,17134.5,17142.5,817.967,2022-12-10 04:00:00+00:00
1670648400000,17142.5,17142.5,17125,17125,514.996,2022-12-10 05:00:00+00:00
1670652000000,17125,17149,17122.5,17136.5,936.722,2022-12-10 06:00:00+00:00
1670655600000,17136.5,17172,17131.5,17145.5,2028.654,2022-12-10 07:00:00+00:00
1670659200000,17145.5,17145.5,17136,17137.5,632.493,2022-12-10 08:00:00+00:00
1670662800000,17137.5,17137.5,17104.5,17137.5,1612.141,2022-12-10 09:00:00+00:00
1670666400000,17137.5,17163,17135,17150,1367.411,2022-12-10 10:00:00+00:00
1670670000000,17150,17161.5,17147,17158.5,1225.909,2022-12-10 11:00:00+00:00
1670673600000,17158.5,17164,17137,17147,934.035,2022-12-10 12:00:00+00:00
1670677200000,17147,17179.5,17128,17148,1604.315,2022-12-10 13:00:00+00:00
1670680800000,17148,17165.5,17139.5,17154.5,914.194,2022-12-10 14:00:00+00:00
1670684400000,17154.5,17210,17154,17200,4528.619,2022-12-10 15:00:00+00:00
1670688000000,17200,17219.5,17165.5,17176,2088.593,2022-12-10 16:00:00+00:00
1670691600000,17176,17187,17146.5,17153,1260.764,2022-12-10 17:00:00+00:00
1670695200000,17153,17179,17152.5,17172.5,676.917,2022-12-10 18:00:00+00:00
1670698800000,17172.5,17175,17154.5,17158,755.216,2022-12-10 19:00:00+00:00
1670702400000,17158,17162,17150,17150.5,709.63,2022-12-10 20:00:00+00:00
1670706000000,17150.5,17152,17114,17114.5,1524.199,2022-12-10 21:00:00+00:00
1670709600000,17114.5,17154.5,17110,17126.5,1828.778,2022-12-10 22:00:00+00:00
1670713200000,17126.5,17137,17086,17121,2182.074,2022-12-10 23:00:00+00:00
1670716800000,17121,17133.5,17114.5,17131.5,804.697,2022-12-11 00:00:00+00:00
1670720400000,17131.5,17158,17130,17154.5,822.174,2022-12-11 01:00:00+00:00
1670724000000,17154.5,17154.5,17137,17138.5,784.11,2022-12-11 02:00:00+00:00
1670727600000,17138.5,17159,17135.5,17145,793.273,2022-12-11 03:00:00+00:00
1670731200000,17145,17155.5,17143,17152.5,491.926,2022-12-11 04:00:00+00:00
1670734800000,17152.5,17176.5,17147,17162.5,1818.349,2022-12-11 05:00:00+00:00
1670738400000,17162.5,17185,17156,17167.5,1370.961,2022-12-11 06:00:00+00:00
